pt,ep,n,succ,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
0,63,64,0.984375,15.0,0.1121144782518968,0.2000887128524482,0.0457283538125921,0.027207651088247,0.021522925044423,0.1227524153655394,134.765625,162.17987060546875
1,95,96,0.9895833333333334,15.0,0.1140812360681593,0.1937708716529111,0.041471729450374,0.0261380810601015,0.0205946507274971,0.122811570065096,134.6875,171.61116234461466
2,127,128,0.984375,15.0,0.1150672559742815,0.1889344804221764,0.0405123008367809,0.0255773202807176,0.0199539968343403,0.1226953235454857,134.775390625,176.41561591625214
3,159,128,0.9921875,15.0,0.1177210651803761,0.1793029299005866,0.0340527399625898,0.0238398513174615,0.0182962916963511,0.1220767838531173,135.1015625,190.52156120538712
4,191,128,0.9921875,15.0,0.1208167118020355,0.1730387981515377,0.0324997791963141,0.0227837617858313,0.0171356402912917,0.122033346502576,135.39453125,199.15290808677676
5,223,128,0.9921875,15.0,0.1250473702093586,0.166406114178244,0.0300796891849586,0.0219814051815774,0.0166203368382846,0.1219023988232947,135.98046875,206.3941254615784
6,255,128,1.0,15.0,0.1273625524481758,0.1593297302606515,0.0276215844703529,0.0213238784053828,0.0160568448203011,0.1214863017085008,136.6328125,215.5953670740128
7,287,128,1.0,15.0,0.1310190493240952,0.1534649281529709,0.0262975499269941,0.0210588970367098,0.0156031956880823,0.121774477767758,136.9921875,220.28834092617035
8,319,128,1.0,15.0,0.1328796914895065,0.1487747120554559,0.0248366415696636,0.0205178323813015,0.0155497797132835,0.1214069082052446,137.412109375,226.15399420261383
9,351,128,1.0,15.0,0.131652639072854,0.1459027803502977,0.0250763982744501,0.0200730360520537,0.0150690799766552,0.1209385223337449,137.5546875,230.16880798339844
10,383,128,1.0,15.0,0.132294979179278,0.1461803134297952,0.0231328261834278,0.0195488023018697,0.0144347263905502,0.1207356808590702,137.404296875,232.17117071151733
11,415,128,1.0,15.0,0.131246593024116,0.1425164595129899,0.0221094599282878,0.0190090690739452,0.014083517942408,0.1204070342355407,136.974609375,238.7139720916748
12,447,128,1.0,15.0,0.1297836609301157,0.1398021110217087,0.0231357859788658,0.0187202060042182,0.0134288298343555,0.1199861181667074,136.357421875,241.7841002941132
