ep,succ,rsn,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
0,1,timeout,15.0,0.10640193521976471,0.22058196365833282,0.07453567534685135,0.03054034151136875,0.02427421909804136,0.12336967140436172,136.25,135.27603149414062
1,1,timeout,15.0,0.13766096532344818,0.1571078598499298,0.008410200476646423,0.02203311026096344,0.023684733386970157,0.1270214468240738,139.0,219.69886779785156
2,1,timeout,15.0,0.11894212663173676,0.18797063827514648,0.04012741148471832,0.029724126681685448,0.023688707485511506,0.1234382688999176,134.0,170.49581909179688
3,1,timeout,15.0,0.12314438074827194,0.1986284703016281,0.08093863725662231,0.028951948508620262,0.02190045795754798,0.13033705949783325,138.75,148.39720153808594
4,1,timeout,15.0,0.12533564865589142,0.22495338320732117,0.049049317836761475,0.029579365625977516,0.02096722465294895,0.12783321738243103,132.25,148.26446533203125
5,1,timeout,15.0,0.10204142332077026,0.2290593683719635,0.04759373515844345,0.027380220592021942,0.025446367330021553,0.12169833481311798,136.25,149.0765380859375
6,1,timeout,15.0,0.11129673570394516,0.20848162472248077,0.057394154369831085,0.03169021010398865,0.026891437971087742,0.12149369716644287,136.25,161.46307373046875
7,1,timeout,15.0,0.09256092458963394,0.21528460085391998,0.04842307046055794,0.026245292276144028,0.02197061107272941,0.12688204646110535,130.25,138.02322387695312
8,1,timeout,15.0,0.11745836585760117,0.22694061696529388,0.06908493489027023,0.027079438790678978,0.020920149115727864,0.120430126786232,133.75,119.78146362304688
9,1,timeout,15.0,0.09246625006198883,0.20930607616901398,0.03407161682844162,0.02863348461687565,0.02346162876751217,0.12954118847846985,135.5,160.64593505859375
10,1,timeout,15.0,0.1065618023276329,0.21899519860744476,0.020293021574616432,0.03824630752205849,0.02673080318459357,0.1229676753282547,128.0,125.75080871582031
11,1,timeout,15.0,0.10029521584510803,0.2192973643541336,0.031088463962078094,0.033164121210575104,0.035974125265545574,0.1271204948425293,138.25,122.92444610595703
12,1,timeout,15.0,0.1149173229932785,0.2373032420873642,0.10512538254261017,0.033457450568675995,0.027192534374985495,0.12154387682676315,129.25,126.50860595703125
13,1,timeout,15.0,0.1141032949090004,0.23862628638744354,0.0005239155143499374,0.022853393107652664,0.02218830984380114,0.12886713445186615,132.5,179.97996520996094
14,1,timeout,15.0,0.131422758102417,0.21203336119651794,0.013241680338978767,0.025441663339734077,0.02132477262207717,0.1170368492603302,135.75,182.56863403320312
15,1,timeout,15.0,0.10763641446828842,0.2089032232761383,0.029057733714580536,0.027642909437417984,0.019681310309822352,0.1230308786034584,135.5,170.73281860351562
16,1,timeout,15.0,0.10281027108430862,0.22186410427093506,0.08294064551591873,0.031230194494128227,0.023793801374931582,0.11717113107442856,133.0,132.12411499023438
17,1,timeout,15.0,0.10230567306280136,0.22282017767429352,0.07986899465322495,0.028155146166682243,0.021703876161955134,0.11675868928432465,130.0,137.36708068847656
18,1,timeout,15.0,0.14808136224746704,0.22359463572502136,0.09573860466480255,0.025592876598238945,0.021372521246744748,0.11985736340284348,134.5,112.9099349975586
19,1,timeout,15.0,0.09925689548254013,0.24934452772140503,0.05591726303100586,0.029906870797276497,0.024842460714130488,0.12492842227220535,138.5,151.64727783203125
20,1,timeout,15.0,0.11316590756177902,0.21128390729427338,0.005584079772233963,0.028412891551852226,0.026999419675825097,0.1261083334684372,130.25,147.32089233398438
21,0,timeout,15.0,0.09429889917373657,0.2219514101743698,0.12878528237342834,0.030618472024798393,0.02180767862569408,0.12205134332180023,136.0,88.06023406982422
22,1,timeout,15.0,0.12292370200157166,0.2419460117816925,0.03869039937853813,0.02955402247607708,0.018925098752738977,0.11748070269823074,134.75,132.6591796875
23,1,timeout,15.0,0.10068672895431519,0.20898103713989258,0.08545300364494324,0.02992447465658188,0.02663526266951996,0.12399983406066895,135.0,146.57984924316406
24,1,timeout,15.0,0.11645007878541946,0.21117714047431946,0.07871882617473602,0.026567591354250908,0.026558282427438587,0.1242724359035492,136.5,151.35975646972656
25,1,timeout,15.0,0.10517298430204391,0.21710939705371857,0.030050355941057205,0.02715098299086094,0.02322019872934059,0.1281229555606842,134.5,166.08792114257812
26,1,timeout,15.0,0.09777501225471497,0.21133677661418915,0.013070963323116302,0.02695038914680481,0.02137589433366944,0.12435220181941986,135.75,171.19935607910156
