pt,ep,n,succ,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
0,31,32,0.9375,15.0,0.11084828432649374,0.21002634009346366,0.042471135515370406,0.02839378616772592,0.022421563927734468,0.12305762665346265,134.703125,157.3929054737091
1,63,64,0.96875,15.0,0.11252445261925459,0.19880456174723804,0.03677002783297212,0.026762055698782206,0.021125782029804734,0.122443963191472,135.4609375,169.38335037231445
2,95,96,0.9791666666666666,15.0,0.11420573177747428,0.19438084214925766,0.032943618956778664,0.02542501325175787,0.01985364849179776,0.12204214526961248,136.46875,176.70621983210245
3,159,128,1.0,15.0,0.12189642566954717,0.17544809600804,0.025013462339757098,0.023084333719452843,0.017602357140938572,0.12157990870764479,137.84375,197.70083886384964
4,191,128,1.0,15.0,0.12737528677098453,0.16614923486486077,0.023780881705079082,0.022357204143190756,0.01660247505848457,0.12167092796880752,138.36328125,207.84943902492523
5,223,128,1.0,15.0,0.13329575763782486,0.15699826052878052,0.024286230798225006,0.02210512942110654,0.01613179759405744,0.1214550407603383,138.2578125,216.09631443023682
6,287,128,1.0,15.0,0.14570967940380797,0.14671345497481525,0.023702940017301444,0.0214194871368818,0.01528211521580548,0.12173437332967296,138.43359375,228.29040133953094
7,319,128,1.0,15.0,0.1521267720963806,0.14354172645835206,0.022237678071633127,0.020839976394199766,0.014816204452596354,0.12126890948275104,138.6796875,233.8815131187439
8,383,128,1.0,15.0,0.16104546282440424,0.13833921286277473,0.02254783909302205,0.02000468449841719,0.014559587461261875,0.12091215688269585,138.861328125,240.15357434749603
9,415,128,1.0,15.0,0.1630769008770585,0.1352107051643543,0.02225748327509791,0.0198056962544797,0.01470662537432339,0.12069497746415436,138.94140625,243.64298009872437
10,447,128,1.0,15.0,0.16250558756291866,0.13228422094834968,0.022381460675205744,0.019582362612709403,0.01508993006144636,0.1204612206784077,139.029296875,245.05312633514404
11,511,128,1.0,15.0,0.16115311160683632,0.12485772697255015,0.022319456291370443,0.018730486423010007,0.014832891062924361,0.1198979273904115,139.65625,253.13821053504944
12,543,128,1.0,15.0,0.15987120778299868,0.12016100634355098,0.022066446883627577,0.018215149015304632,0.014485485074079617,0.11936829704791307,139.796875,259.23438918590546
13,607,128,1.0,15.0,0.1605323602561839,0.11310676246648654,0.019321667509530016,0.017429435727535747,0.014174547195998116,0.11846703919582069,139.89453125,269.9678338766098
14,639,128,1.0,15.0,0.15926209336612374,0.1108630716917105,0.019305050371940524,0.017195761152834166,0.014763502401626882,0.11825236078584567,139.8125,272.61904072761536
15,703,128,1.0,15.0,0.15555113629670814,0.10346022329758853,0.02191827827027737,0.01701446111110272,0.017033668245446644,0.11776070803171024,139.525390625,278.47504925727844
16,735,128,1.0,15.0,0.15731331595452502,0.09945602301741019,0.022647679760666506,0.016623064657323994,0.017197140418871656,0.11785191739909351,139.83203125,282.4642524719238
17,799,128,1.0,15.0,0.16067202884005383,0.09520084440009668,0.022404418105907098,0.015721320814918727,0.016409212404156878,0.11746278789360076,140.505859375,288.8481103181839
18,831,128,1.0,15.0,0.167901799606625,0.09431413083802909,0.02145693507645774,0.014461342165304814,0.01453974538510814,0.11593448731582612,141.904296875,293.66567492485046
19,895,128,1.0,15.0,0.17050903651397675,0.09262630064040422,0.018801341136168048,0.012696617304754909,0.012963005037997466,0.11466603801818565,144.07421875,298.33389365673065
20,927,128,1.0,15.0,0.16933570394758135,0.09160868264734745,0.016633291812468087,0.012085311511327745,0.012211661111558445,0.11390846822177991,144.91015625,301.20262801647186
21,959,128,1.0,15.0,0.16512091661570594,0.089361778635066,0.016533869245904498,0.012034503510221839,0.011837238425591295,0.1140206876443699,145.1484375,303.52474987506866
22,1023,128,1.0,15.0,0.16705011762678623,0.0863497257232666,0.0170600037317854,0.011331167766911676,0.01105880227193733,0.1131201708340086,146.138671875,309.28493785858154
23,1055,128,1.0,15.0,0.17015689006075263,0.08424066926818341,0.017127720740973018,0.01069224421371473,0.010596509324024051,0.1124436105019413,146.87890625,313.2008717060089
24,1119,128,1.0,15.0,0.16650808928534389,0.07839007812435739,0.01830835047258006,0.010369706520577893,0.010087709346855614,0.11100546835223213,147.388671875,321.92268204689026
25,1151,128,1.0,15.0,0.16639380797278136,0.07575105677824467,0.017534095108430847,0.010164169067138573,0.009821947782027482,0.11076927022077143,147.677734375,326.200088262558
26,1215,128,1.0,15.0,0.16051712963962927,0.07010704668937251,0.019001104429889892,0.010640305059496313,0.009658765852203897,0.10974915482802317,147.728515625,331.8217673301697
27,1247,128,1.0,15.0,0.16236083512194455,0.0707998541474808,0.01759432240623937,0.010456479740241775,0.0094133438732593,0.1095690659713,147.970703125,331.8988401889801
28,1311,128,1.0,15.0,0.16111055720830336,0.07050697092199698,0.014528345296866974,0.009964446937374305,0.009111559190769392,0.10982435336336493,148.48046875,334.6374566555023
29,1343,128,1.0,15.0,0.16161958733573556,0.0709241462755017,0.013742088451408563,0.00957168380409712,0.008995353605849568,0.1092823704238981,148.796875,335.5925452709198
30,1407,128,1.0,15.0,0.1650044183479622,0.07089923275634646,0.01261307903814668,0.008902378205675632,0.00903816585463531,0.10859065217664465,149.578125,338.0652940273285
31,1439,128,1.0,15.0,0.16622146923327819,0.07064213894773275,0.01184905493619226,0.008700018228410045,0.009045455263787876,0.1081574663403444,149.70703125,339.44053983688354
32,1503,128,1.0,15.0,0.16613336221780628,0.06919173279311508,0.010986671578166352,0.008429977526247967,0.009124750218595972,0.1079788506613113,150.158203125,342.19113397598267
33,1535,128,1.0,15.0,0.16187794919824228,0.06814679550006986,0.010797373146033351,0.008495159421727294,0.00939210154164232,0.10777765128295869,150.166015625,342.9493110179901
34,1567,128,1.0,15.0,0.15811277006287128,0.06703038260457106,0.011035849634481565,0.008407557586906478,0.009487734623729448,0.10756316833430901,150.2890625,344.344938993454
