env_id,success,done_reason_code,done_reason,duration_sec,survival_ratio,v_cmd_mean,v_fwd_mean,v_fwd_rmse,yaw_drift_abs_final,yaw_rate_abs_mean,roll_rms,pitch_rms,tilt_rms,vertical_bounce_rms,base_z_min,contact_continuity_score,diag_support_asym_score,swing_scuff_count,residual_rms,residual_rate_rms,joint_vel_rms,return_total,completed_episode_index,completed_wall_time_s
0,1,1,timeout,10.0,1.0,0.183730348944664,0.0967816412448883,0.19665281474590302,0.019209496676921844,0.03629559651017189,0.01901043765246868,0.012030079960823059,0.0224971012266513,0.13840489089488983,0.8708102107048035,0.42500001192092896,0.7616666555404663,86.0,0.45798903703689575,0.357353150844574,0.4644301235675812,183.7031707763672,0,1776652569.8623302
1,1,1,timeout,10.0,1.0,0.1706184446811676,0.13035549223423004,0.18827781081199646,0.012262791395187378,0.024700192734599113,0.016057174652814865,0.01448205765336752,0.02162320169878783,0.13595153391361237,0.8736017346382141,0.4466666579246521,0.7599999904632568,89.25,0.46581408381462097,0.35572370886802673,0.4726719856262207,193.30007934570312,1,1776652569.8623302
2,1,1,timeout,10.0,1.0,0.18742986023426056,0.10966986417770386,0.2424769550561905,0.017195377498865128,0.029047679156064987,0.015579001046717167,0.01149605680257082,0.019361420289367964,0.13785360753536224,0.8721577525138855,0.4166666567325592,0.7416666746139526,87.75,0.44905704259872437,0.35465118288993835,0.4589724540710449,164.0621795654297,2,1776652569.8623302
3,1,1,timeout,10.0,1.0,0.11901943385601044,0.10773732513189316,0.19562923908233643,0.08043500781059265,0.03061567060649395,0.02258804254233837,0.01848783530294895,0.02918937683616171,0.13330885767936707,0.8688985705375671,0.43166667222976685,0.6966666579246521,83.75,0.4534150958061218,0.3534711003303528,0.44791290163993835,157.91770935058594,3,1776652569.8623302
4,1,1,timeout,10.0,1.0,0.21671442687511444,0.11082936823368073,0.20821727812290192,0.029026146978139877,0.02887313812971115,0.01652883179485798,0.011709019541740417,0.020255947747058568,0.1373514086008072,0.8666496872901917,0.43833333253860474,0.7300000190734863,85.25,0.4624754786491394,0.3572724163532257,0.46069127321243286,182.5431671142578,4,1776652569.8623302
5,1,1,timeout,10.0,1.0,0.17771713435649872,0.08731832355260849,0.20737583935260773,0.06319062411785126,0.033463004976511,0.014771108515560627,0.012945743277668953,0.01964122999686574,0.13725829124450684,0.8682194352149963,0.4333333373069763,0.7400000095367432,87.0,0.4675588607788086,0.3583199977874756,0.44760167598724365,177.2007293701172,5,1776652569.8623302
6,1,1,timeout,10.0,1.0,0.1867407113313675,0.10990572720766068,0.22086656093597412,0.02443617582321167,0.02675577439367771,0.0201158095151186,0.012514196336269379,0.02369073452620737,0.1319987028837204,0.870162308216095,0.44999998807907104,0.75,87.5,0.45072808861732483,0.3541015386581421,0.4536014795303345,162.52145385742188,6,1776652569.8623302
7,1,1,timeout,10.0,1.0,0.17515712976455688,0.12806189060211182,0.18316136300563812,0.03194861486554146,0.025418030098080635,0.015616060234606266,0.014802743680775166,0.021517029482007507,0.13802175223827362,0.8695901036262512,0.4449999928474426,0.7649999856948853,88.25,0.45413902401924133,0.3571881055831909,0.4589623212814331,173.3864288330078,7,1776652569.8623302
8,1,1,timeout,10.0,1.0,0.1511951982975006,0.09306848794221878,0.23780585825443268,0.014078028500080109,0.028715142980217934,0.018640972673892975,0.018887203186750412,0.026536998821389345,0.14111293852329254,0.8716767430305481,0.4283333420753479,0.7350000143051147,86.0,0.466415137052536,0.3541020452976227,0.46318382024765015,170.64193725585938,8,1776652569.8623302
9,1,1,timeout,10.0,1.0,0.1285777986049652,0.0938439592719078,0.15312793850898743,0.06225791946053505,0.0229753740131855,0.013189989142119884,0.012315716594457626,0.018045849628217547,0.13519936800003052,0.8735134601593018,0.46166667342185974,0.75,91.0,0.45380935072898865,0.3522661626338959,0.4485318958759308,198.6509246826172,9,1776652569.8623302
